Entity,Code,Date,"Deaths, 2020, all ages",Average_deaths_from_2015_to_2019_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages
England & Wales,,8/16/2020,9392,9086.8,9146,9070,9295,8830,9093
England & Wales,,8/23/2020,9631,9158.6,9121,9318,9382,8978,8994
England & Wales,,8/30/2020,9032,8239.4,9023,7921,8146,7865,8242
England & Wales,,9/6/2020,7739,9181.6,7878,9397,9493,9445,9695
England & Wales,,9/13/2020,9811,9306.8,9254,9123,9453,9191,9513
England & Wales,,9/20/2020,9522,9264.2,9097,8945,9534,9305,9440
England & Wales,,9/27/2020,9634,9375,9526,8993,9689,9150,9517
England & Wales,,10/4/2020,9945,9555,9410,9287,9776,9503,9799
England & Wales,,10/11/2020,9954,9810.6,9775,9717,9939,9649,9973
England & Wales,,10/18/2020,10534,9865,9508,9768,10029,9864,10156
England & Wales,,10/25/2020,10739,9759.4,9710,9724,9739,9603,10021
England & Wales,,11/1/2020,10887,9884.2,9593,10152,9983,9529,10164
England & Wales,,11/8/2020,11812,10328.6,9984,10467,10344,10151,10697
England & Wales,,11/15/2020,12254,10348.4,9935,10690,10274,10193,10650
England & Wales,,11/22/2020,,10376.4,9829,10602,10612,9957,10882
England & Wales,,11/29/2020,,10357,9820,10438,10536,10033,10958
England & Wales,,12/6/2020,,10693.6,10361,11223,10781,10287,10816
England & Wales,,12/13/2020,,10748,10257,10528,11217,10550,11188
England & Wales,,12/20/2020,,11546,10688,11486,12514,11116,11926
England & Wales,,12/27/2020,,7955.4,8630,8002,8481,7131,7533
Estonia,EST,1/5/2020,296,343.8,354,322,364,328,351
Estonia,EST,1/12/2020,331,344.8,340,334,393,319,338
Estonia,EST,1/19/2020,316,330.8,294,301,386,290,383
Estonia,EST,1/26/2020,300,335.6,321,335,360,338,324
Estonia,EST,2/2/2020,308,339.6,329,319,392,333,325
Estonia,EST,2/9/2020,276,340.8,332,353,351,343,325
Estonia,EST,2/16/2020,322,321.6,324,276,344,347,317
Estonia,EST,2/23/2020,334,338.6,332,313,337,389,322
Estonia,EST,3/1/2020,314,333.4,324,317,304,391,331
Estonia,EST,3/8/2020,293,334.4,355,293,328,391,305
Estonia,EST,3/15/2020,340,323.6,341,303,296,384,294
Estonia,EST,3/22/2020,312,311.8,331,263,304,361,300
Estonia,EST,3/29/2020,328,316.8,317,323,322,326,296
Estonia,EST,4/5/2020,312,299.2,304,312,286,337,257
Estonia,EST,4/12/2020,315,304,311,307,293,319,290
Estonia,EST,4/19/2020,313,299.4,297,298,285,318,299
Estonia,EST,4/26/2020,326,285.2,302,295,267,276,286
Estonia,EST,5/3/2020,308,289.4,265,304,308,269,301
Estonia,EST,5/10/2020,316,287.6,278,299,319,268,274
Estonia,EST,5/17/2020,290,305.2,333,288,292,300,313
Estonia,EST,5/24/2020,278,286.6,283,276,290,281,303
Estonia,EST,5/31/2020,303,274.4,285,277,268,266,276
Estonia,EST,6/7/2020,271,279.6,289,258,293,262,296
Estonia,EST,6/14/2020,279,268.8,267,276,262,282,257
Estonia,EST,6/21/2020,277,272,285,270,247,277,281
Estonia,EST,6/28/2020,292,262.8,239,263,272,261,279
Estonia,EST,7/5/2020,271,262.2,277,251,290,230,263
Estonia,EST,7/12/2020,275,265.4,250,270,249,280,278
Estonia,EST,7/19/2020,283,270,236,276,242,310,286
Estonia,EST,7/26/2020,297,280.6,238,264,296,291,314
Estonia,EST,8/2/2020,306,268,259,232,272,321,256
Estonia,EST,8/9/2020,295,286.2,276,280,304,302,269
Estonia,EST,8/16/2020,295,278.2,289,285,260,234,323
Estonia,EST,8/23/2020,264,264.2,261,278,270,261,251
Estonia,EST,8/30/2020,300,272.2,259,271,305,255,271
Estonia,EST,9/6/2020,282,265.8,248,283,259,278,261
Estonia,EST,9/13/2020,256,272.6,301,278,265,265,254
Estonia,EST,9/20/2020,314,281.6,285,295,267,284,277
Estonia,EST,9/27/2020,330,286.6,292,305,271,283,282
Estonia,EST,10/4/2020,303,286.8,301,282,273,273,305
Estonia,EST,10/11/2020,272,285.4,316,284,269,301,257
Estonia,EST,10/18/2020,307,292.4,296,313,285,282,286
Estonia,EST,10/25/2020,304,295.6,279,313,291,299,296
Estonia,EST,11/1/2020,265,294.4,270,303,324,282,293
Estonia,EST,11/8/2020,284,279.8,277,330,262,259,271
Estonia,EST,11/15/2020,287,291,285,299,299,284,288
Estonia,EST,11/22/2020,310,280.6,256,292,267,289,299
Estonia,EST,11/29/2020,,292.8,282,284,324,283,291
Estonia,EST,12/6/2020,,296.2,258,286,294,316,327
Estonia,EST,12/13/2020,,300.8,305,312,264,319,304
Estonia,EST,12/20/2020,,310.2,318,309,301,318,305
Estonia,EST,12/27/2020,,314.4,267,364,310,329,302
Finland,FIN,1/5/2020,1046,1165.2,1084,1184,1273,1072,1213
Finland,FIN,1/12/2020,1068,1180.4,1159,1192,1335,1091,1125
Finland,FIN,1/19/2020,1059,1172.4,1151,1249,1208,1083,1171
Finland,FIN,1/26/2020,1038,1127.2,1040,1186,1145,1131,1134
Finland,FIN,2/2/2020,1073,1137.6,1062,1183,1116,1186,1141
Finland,FIN,2/9/2020,1115,1123,1062,1167,1106,1110,1170
Finland,FIN,2/16/2020,1098,1098.8,1093,1047,1122,1143,1089
Finland,FIN,2/23/2020,1091,1095.2,1075,1046,1124,1173,1058
Finland,FIN,3/1/2020,1050,1120.2,1126,1075,1083,1247,1070
Finland,FIN,3/8/2020,1106,1102.6,1134,1023,1048,1223,1085
Finland,FIN,3/15/2020,1105,1102.8,1047,1041,1021,1251,1154
Finland,FIN,3/22/2020,1122,1087.6,1015,1095,1065,1216,1047
Finland,FIN,3/29/2020,1108,1064,1012,1097,985,1154,1072
Finland,FIN,4/5/2020,1108,1077,1070,980,1059,1243,1033
Finland,FIN,4/12/2020,1180,1047.4,1075,1010,998,1096,1058
Finland,FIN,4/19/2020,1094,1057.8,1040,1060,1055,1110,1024
Finland,FIN,4/26/2020,1141,1015.4,1075,968,1006,1027,1001
Finland,FIN,5/3/2020,1131,1037.8,1021,976,1079,1023,1090
Finland,FIN,5/10/2020,1073,991.4,1009,947,1049,980,972
Finland,FIN,5/17/2020,1103,970.8,926,963,999,973,993
Finland,FIN,5/24/2020,957,958.6,939,1023,995,909,927
Finland,FIN,5/31/2020,990,950.4,947,980,980,926,919
Finland,FIN,6/7/2020,984,966.2,907,913,1014,944,1053
Finland,FIN,6/14/2020,1001,950,927,947,1021,921,934
Finland,FIN,6/21/2020,1066,967,987,939,993,954,962
Finland,FIN,6/28/2020,1021,950.6,924,995,993,946,895
Finland,FIN,7/5/2020,997,945.8,1016,874,929,961,949
Finland,FIN,7/12/2020,942,943,885,940,921,986,983
Finland,FIN,7/19/2020,1020,959.6,902,949,925,1060,962
Finland,FIN,7/26/2020,964,973.4,902,952,944,1047,1022
Finland,FIN,8/2/2020,982,938.6,883,902,923,1063,922
Finland,FIN,8/9/2020,953,924.8,874,919,954,919,958
Finland,FIN,8/16/2020,976,950.4,956,946,943,984,923
Finland,FIN,8/23/2020,1015,958.6,946,1006,906,943,992
Finland,FIN,8/30/2020,986,963,957,991,954,947,966
Finland,FIN,9/6/2020,979,967.2,917,991,1001,941,986
Finland,FIN,9/13/2020,1120,965,966,922,1040,907,990
Finland,FIN,9/20/2020,1036,986.6,977,1012,940,997,1007
Finland,FIN,9/27/2020,1083,990.8,938,983,974,1012,1047
Finland,FIN,10/4/2020,970,1016.4,957,986,1030,1059,1050
Finland,FIN,10/11/2020,972,1022.8,982,1074,964,1004,1090
Finland,FIN,10/18/2020,1064,1015.4,1025,994,1024,982,1052
Finland,FIN,10/25/2020,1050,1034.8,1045,1025,1024,999,1081
Finland,FIN,11/1/2020,1093,1032.6,967,1040,1034,1021,1101
Finland,FIN,11/8/2020,,1008.6,967,1071,977,1031,997
Finland,FIN,11/15/2020,,994.8,1005,1006,966,983,1014
Finland,FIN,11/22/2020,,1023.2,1054,1099,998,995,970
Finland,FIN,11/29/2020,,1032.6,1069,1044,988,1038,1024
Finland,FIN,12/6/2020,,1058,1082,1034,1014,1063,1097
Finland,FIN,12/13/2020,,1060.6,1060,1069,1056,1065,1053
Finland,FIN,12/20/2020,,1088.2,1019,1168,1112,1037,1105
Finland,FIN,12/27/2020,,1162.4,1106,1321,1103,1193,1089
France,FRA,1/5/2020,12726,13445,12804,11944,15509,14154,12814
France,FRA,1/12/2020,13193,13563,13142,12032,15696,13590,13355
France,FRA,1/19/2020,12595,13210,12803,12141,14700,13157,13249
France,FRA,1/26/2020,12328,13070.8,12617,11824,14783,12464,13666
France,FRA,2/2/2020,12533,13071.2,13281,11734,14282,12132,13927
France,FRA,2/9/2020,12403,13189.6,13963,11827,13405,12697,14056
France,FRA,2/16/2020,12256,13024,14666,11615,12610,12645,13584
France,FRA,2/23/2020,11830,12893,14326,11522,11980,13136,13501
France,FRA,3/1/2020,12042,12922.2,13592,12033,11712,14212,13062
France,FRA,3/8/2020,12134,12623.6,12930,11920,11482,14327,12459
France,FRA,3/15/2020,12547,12036.8,12264,12055,11013,13156,11696
France,FRA,3/22/2020,13936,11745,11901,11867,10722,12687,11548
France,FRA,3/29/2020,16182,11642.4,11684,11978,10795,12443,11312
France,FRA,4/5/2020,18794,11380.2,11130,11614,10674,12014,11469
France,FRA,4/12/2020,17556,11173.6,11239,11231,10664,11716,11018
France,FRA,4/19/2020,15385,11027.8,10884,10694,10675,11603,11283
France,FRA,4/26/2020,12819,10917.4,10790,10725,11027,10788,11257
France,FRA,5/3/2020,11253,10777,10593,10831,10881,10696,10884
France,FRA,5/10/2020,11029,10639.2,10480,10697,10691,10332,10996
France,FRA,5/17/2020,10749,10533.2,10110,10542,10635,10399,10980
France,FRA,5/24/2020,11114,10531,10026,10461,10604,10781,10783
France,FRA,5/31/2020,10425,10265.6,10137,10043,10145,10512,10491
France,FRA,6/7/2020,10385,10207.6,10416,10291,9851,10138,10342
France,FRA,6/14/2020,10357,10093.2,10172,9904,10091,9978,10321
France,FRA,6/21/2020,10416,10365.4,9862,10404,10864,10203,10494
France,FRA,6/28/2020,11103,10386.2,10160,10073,9677,10894,11127
France,FRA,7/5/2020,10008,10746.6,11190,10440,10584,10777,10742
France,FRA,7/12/2020,10308,10218.6,10315,10156,10109,10255,10258
France,FRA,7/19/2020,10116,10444.6,10181,10914,10289,10509,10330
France,FRA,7/26/2020,10529,10436.6,9911,9838,10172,10923,11339
France,FRA,8/2/2020,10838,10156.6,9698,9807,10405,10765,10108
France,FRA,8/9/2020,10738,10258.6,10478,9820,9918,10731,10346
France,FRA,8/16/2020,11743,10023,9935,10176,10083,9930,9991
France,FRA,8/23/2020,10454,10296,9851,10497,10394,10388,10350
France,FRA,8/30/2020,10480,10282.2,10094,10053,10300,10140,10824
France,FRA,9/6/2020,10584,10078.4,9829,10195,9776,10497,10095
France,FRA,9/13/2020,11149,10356.2,10157,10192,10368,10532,10532
France,FRA,9/20/2020,11689,10614.6,10320,10259,11081,10520,10893
France,FRA,9/27/2020,10770,10628.4,10408,10498,11239,10453,10544
France,FRA,10/4/2020,11712,10874.4,10758,10669,10974,11061,10910
France,FRA,10/11/2020,,11147.8,11100,11289,11099,11134,11117
France,FRA,10/18/2020,,11011.4,10906,11384,10839,10780,11148
France,FRA,10/25/2020,,11157.2,11293,11360,10946,10999,11188
France,FRA,11/1/2020,,11173.6,11121,11158,11003,11194,11392
France,FRA,11/8/2020,,11289.2,10762,11332,11314,11484,11554
France,FRA,11/15/2020,,11302.2,10395,11689,11411,11249,11767
France,FRA,11/22/2020,,11422.8,10489,11426,11631,11459,12109
France,FRA,11/29/2020,,11550.4,10952,11402,11771,11595,12032
France,FRA,12/6/2020,,11671.8,11125,11935,12031,11324,11944
France,FRA,12/13/2020,,11962,11185,12273,12623,11501,12228
France,FRA,12/20/2020,,12305.2,11207,13241,12704,12021,12353
France,FRA,12/27/2020,,12618.6,11096,14411,13483,11954,12149
Germany,DEU,1/5/2020,18899,19353.25,,18467,20918,19342,18686
Germany,DEU,1/12/2020,19428,19612.25,,18439,22070,18770,19170
Germany,DEU,1/19/2020,19175,19553.25,,18627,21236,19187,19163
Germany,DEU,1/26/2020,18932,19866.5,,18707,22083,19171,19505
Germany,DEU,2/2/2020,19786,20375.75,,18493,23640,19558,19812
Germany,DEU,2/9/2020,19025,20338,,18541,22744,20086,19981
Germany,DEU,2/16/2020,19633,20642.5,,18483,22683,21254,20150
Germany,DEU,2/23/2020,18939,20994.5,,18475,22266,22888,20349
Germany,DEU,3/1/2020,19476,21545.25,,18926,20930,25535,20790
Germany,DEU,3/8/2020,19634,21305,,18888,19102,26777,20453
Germany,DEU,3/15/2020,19874,20454,,18971,18665,24385,19795
Germany,DEU,3/22/2020,19729,19564.75,,18826,17640,22777,19016
Germany,DEU,3/29/2020,19692,18954,,18617,17731,20906,18562
Germany,DEU,4/5/2020,20638,18495.25,,18244,17028,20038,18671
Germany,DEU,4/12/2020,20500,17907.5,,17712,16901,19165,17852
Germany,DEU,4/19/2020,19271,17373.25,,16775,16637,17992,18089
Germany,DEU,4/26/2020,18542,17418.5,,17053,17634,17093,17894
Germany,DEU,5/3/2020,17895,16977.25,,16901,17129,16789,17090
Germany,DEU,5/10/2020,17619,17329,,17629,17343,17226,17118
Germany,DEU,5/17/2020,16966,16870.75,,16601,17079,16488,17315
Germany,DEU,5/24/2020,17141,16582.5,,16286,16451,16513,17080
Germany,DEU,5/31/2020,16749,16802,,16346,16902,17039,16921
Germany,DEU,6/7/2020,17258,16462.5,,15799,15846,16714,17491
Germany,DEU,6/14/2020,16581,15967.5,,15717,16087,15582,16484
Germany,DEU,6/21/2020,16369,16552.75,,16910,16819,15843,16639
Germany,DEU,6/28/2020,17256,16565.5,,15699,16076,16569,17918
Germany,DEU,7/5/2020,16415,16456.75,,16229,16424,16622,16552
Germany,DEU,7/12/2020,16128,16041,,16172,15603,16070,16319
Germany,DEU,7/19/2020,16492,16783,,16985,16589,16702,16856
Germany,DEU,7/26/2020,16876,17546.25,,16157,16058,18340,19630
Germany,DEU,8/2/2020,17368,17334.5,,15439,16494,20371,17034
Germany,DEU,8/9/2020,17440,16572.25,,15487,15784,18478,16540
Germany,DEU,8/16/2020,19622,16307.5,,16258,16148,16890,15934
Germany,DEU,8/23/2020,17488,16475.5,,17147,15880,16612,16263
Germany,DEU,8/30/2020,16579,16450.5,,16101,16064,16000,17637
Germany,DEU,9/6/2020,16658,16050,,16116,15706,16390,15988
Germany,DEU,9/13/2020,17011,16278.25,,16372,16146,16292,16303
Germany,DEU,9/20/2020,17430,16315.5,,15606,16505,16651,16500
Germany,DEU,9/27/2020,17291,16613.5,,16336,16747,15969,17402
Germany,DEU,10/4/2020,17439,16634.25,,16352,16664,16622,16899
Germany,DEU,10/11/2020,17288,17389,,17427,17470,16993,17666
Germany,DEU,10/18/2020,17486,17250.75,,17599,17139,16552,17713
Germany,DEU,10/25/2020,18222,17145,,17586,17059,16608,17327
Germany,DEU,11/1/2020,18030,17181.25,,17580,16762,16895,17488
Germany,DEU,11/8/2020,,17654,,17782,17371,17604,17859
Germany,DEU,11/15/2020,,17817.25,,18591,17594,16842,18242
Germany,DEU,11/22/2020,,17976.75,,17911,17676,17785,18535
Germany,DEU,11/29/2020,,18173.75,,18146,17877,18091,18581
Germany,DEU,12/6/2020,,18643.25,,18793,18295,18342,19143
Germany,DEU,12/13/2020,,18608.25,,18885,18504,17943,19101
Germany,DEU,12/20/2020,,18982,,19376,18500,18990,19062
Germany,DEU,12/27/2020,,18638.5,,19744,18652,17954,18204
Greece,GRC,1/5/2020,2748,2825.25,,2637,3425,2533,2706
Greece,GRC,1/12/2020,2920,2969,,2638,3680,2453,3105
Greece,GRC,1/19/2020,2863,2837.25,,2601,3364,2345,3039
Greece,GRC,1/26/2020,2774,2785.5,,2652,3082,2548,2860
Greece,GRC,2/2/2020,2990,2787.25,,2649,3002,2605,2893
Greece,GRC,2/9/2020,2848,2678.25,,2594,2790,2557,2772
Greece,GRC,2/16/2020,2782,2535.75,,2436,2675,2469,2563
Greece,GRC,2/23/2020,2468,2472.75,,2215,2523,2493,2660
Greece,GRC,3/1/2020,2545,2479.25,,2139,2399,2610,2769
Greece,GRC,3/8/2020,2644,2426,,2248,2405,2532,2519
Greece,GRC,3/15/2020,2594,2396,,2255,2444,2415,2470
Greece,GRC,3/22/2020,2547,2341,,2185,2458,2330,2391
Greece,GRC,3/29/2020,2439,2302.25,,2259,2253,2365,2332
Greece,GRC,4/5/2020,2454,2348,,2275,2363,2341,2413
Greece,GRC,4/12/2020,2362,2312.75,,2227,2363,2349,2312
Greece,GRC,4/19/2020,2267,2251.5,,2100,2367,2319,2220
Greece,GRC,4/26/2020,2202,2246,,2081,2325,2175,2403
Greece,GRC,5/3/2020,2306,2274.25,,2246,2265,2226,2360
Greece,GRC,5/10/2020,2125,2167.75,,2209,2159,1980,2323
Greece,GRC,5/17/2020,2474,2132.75,,2121,2030,2112,2268
Greece,GRC,5/24/2020,2329,2067.75,,2027,2013,2021,2210
Greece,GRC,5/31/2020,1960,2228.75,,2199,2212,2223,2281
Greece,GRC,6/7/2020,2101,2176.75,,1999,2121,2302,2285
Greece,GRC,6/14/2020,2211,2261.25,,2175,2136,2188,2546
Greece,GRC,6/21/2020,2352,2385,,2914,2170,2080,2376
Greece,GRC,6/28/2020,2179,2378.5,,2318,2732,2045,2419
Greece,GRC,7/5/2020,2669,2358.75,,2155,2542,2361,2377
Greece,GRC,7/12/2020,2301,2255.5,,2186,2418,2160,2258
Greece,GRC,7/19/2020,2136,2134,,1993,2090,2356,2097
Greece,GRC,7/26/2020,2234,2240,,2285,2143,2195,2337
Greece,GRC,8/2/2020,2714,2312,,2324,2307,2231,2386
Greece,GRC,8/9/2020,2529,2404.25,,2212,2726,2288,2391
Greece,GRC,8/16/2020,2367,2264,,2122,2288,2285,2361
Greece,GRC,8/23/2020,2359,2156.25,,2049,2052,2260,2264
Greece,GRC,8/30/2020,2300,2155.75,,2013,2076,2178,2356
Greece,GRC,9/6/2020,,2083.75,,2041,1976,2196,2122
Greece,GRC,9/13/2020,,2054.5,,1971,2100,2063,2084
Greece,GRC,9/20/2020,,2018,,1882,1980,2100,2110
Greece,GRC,9/27/2020,,2001.75,,1972,1926,2022,2087
Greece,GRC,10/4/2020,,2122.75,,2081,2076,2176,2158
Greece,GRC,10/11/2020,,2136.5,,2047,2185,2244,2070
Greece,GRC,10/18/2020,,2164.75,,2142,2230,2164,2123
Greece,GRC,10/25/2020,,2191.25,,2177,2157,2261,2170
Greece,GRC,11/1/2020,,2236.5,,2148,2214,2301,2283
Greece,GRC,11/8/2020,,2298.5,,2349,2310,2232,2303
Greece,GRC,11/15/2020,,2279.5,,2244,2266,2392,2216
Greece,GRC,11/22/2020,,2351,,2431,2319,2438,2216
Greece,GRC,11/29/2020,,2364,,2413,2336,2312,2395
Greece,GRC,12/6/2020,,2429,,2475,2278,2451,2512
Greece,GRC,12/13/2020,,2458.75,,2414,2455,2503,2463
Greece,GRC,12/20/2020,,2515.75,,2716,2367,2535,2445
Greece,GRC,12/27/2020,,2615.5,,2875,2496,2632,2459
Hungary,HUN,1/5/2020,2609,2885.4,2800,2823,3155,2595,3054
Hungary,HUN,1/12/2020,2586,2918.4,3005,2640,3311,2546,3090
Hungary,HUN,1/19/2020,2582,2924.6,2900,2562,3449,2675,3037
Hungary,HUN,1/26/2020,2720,3016.6,3005,2615,3574,2655,3234
Hungary,HUN,2/2/2020,2799,3056.2,3067,2483,3616,2731,3384
Hungary,HUN,2/9/2020,2634,3068.4,3350,2640,3256,2833,3263
Hungary,HUN,2/16/2020,2750,2983.4,3280,2575,2991,3037,3034
Hungary,HUN,2/23/2020,2586,2955.8,3349,2491,2890,3161,2888
Hungary,HUN,3/1/2020,2781,2893.8,3120,2535,2668,3237,2909
Hungary,HUN,3/8/2020,2605,2812,2962,2496,2671,3218,2713
Hungary,HUN,3/15/2020,2577,2709.2,2777,2438,2582,3016,2733
Hungary,HUN,3/22/2020,2800,2635.2,2764,2481,2584,2878,2469
Hungary,HUN,3/29/2020,2590,2591.6,2690,2537,2546,2774,2411
Hungary,HUN,4/5/2020,2525,2510.6,2639,2456,2422,2622,2414
Hungary,HUN,4/12/2020,2572,2478.2,2612,2318,2492,2576,2393
Hungary,HUN,4/19/2020,2509,2430.2,2612,2349,2527,2336,2327
Hungary,HUN,4/26/2020,2356,2436.8,2598,2364,2480,2300,2442
Hungary,HUN,5/3/2020,2249,2367,2467,2279,2479,2294,2316
Hungary,HUN,5/10/2020,2292,2314.6,2420,2370,2340,2160,2283
Hungary,HUN,5/17/2020,2343,2271.8,2293,2381,2323,2154,2208
Hungary,HUN,5/24/2020,2110,2275.8,2274,2261,2209,2352,2283
Hungary,HUN,5/31/2020,2192,2286.6,2177,2285,2382,2393,2196
Hungary,HUN,6/7/2020,2397,2262.2,2434,2235,2126,2228,2288
Hungary,HUN,6/14/2020,2286,2292,2298,2151,2145,2243,2623
Hungary,HUN,6/21/2020,2070,2250,2067,2481,2297,2188,2217
Hungary,HUN,6/28/2020,2262,2193.4,2141,2303,2136,2140,2247
Hungary,HUN,7/5/2020,2314,2219,2383,2102,2143,2225,2242
Hungary,HUN,7/12/2020,2172,2281,2491,2276,2288,2285,2065
Hungary,HUN,7/19/2020,2110,2279.2,2358,2210,2271,2265,2292
Hungary,HUN,7/26/2020,2152,2380.4,2625,2277,2140,2389,2471
Hungary,HUN,8/2/2020,2355,2309.4,2020,2221,2657,2479,2170
Hungary,HUN,8/9/2020,2304,2284.8,2378,2120,2292,2419,2215
Hungary,HUN,8/16/2020,2260,2306.6,2747,2222,2147,2199,2218
Hungary,HUN,8/23/2020,2210,2191.2,2002,2241,2155,2323,2235
Hungary,HUN,8/30/2020,2195,2293.6,2282,2320,2239,2254,2373
Hungary,HUN,9/6/2020,2206,2223.6,2220,2246,2186,2267,2199
Hungary,HUN,9/13/2020,2309,2271.4,2192,2365,2290,2356,2154
Hungary,HUN,9/20/2020,2450,2316,2379,2263,2312,2385,2241
Hungary,HUN,9/27/2020,2439,2355.4,2147,2423,2351,2362,2494
Hungary,HUN,10/4/2020,2529,2401.4,2192,2447,2428,2498,2442
Hungary,HUN,10/11/2020,2516,2452,2332,2538,2496,2512,2382
Hungary,HUN,10/18/2020,2661,2427.8,2463,2493,2357,2432,2394
Hungary,HUN,10/25/2020,2816,2413.2,2437,2527,2338,2409,2355
Hungary,HUN,11/1/2020,,2386.2,2418,2458,2397,2361,2297
Hungary,HUN,11/8/2020,,2405,2425,2471,2324,2362,2443
Hungary,HUN,11/15/2020,,2397.4,2315,2483,2423,2408,2358
Hungary,HUN,11/22/2020,,2467.6,2440,2539,2503,2555,2301
Hungary,HUN,11/29/2020,,2456,2389,2540,2437,2559,2355
Hungary,HUN,12/6/2020,,2575.4,2385,2635,2655,2644,2558
Hungary,HUN,12/13/2020,,2557.2,2418,2585,2580,2677,2526
Hungary,HUN,12/20/2020,,2637.8,2406,2845,2605,2797,2536
Hungary,HUN,12/27/2020,,2678.6,2514,2897,2628,2860,2494
Iceland,ISL,1/5/2020,57,45.8,49,44,35,62,39
Iceland,ISL,1/12/2020,55,47.8,42,56,53,47,41
Iceland,ISL,1/19/2020,52,44.4,44,51,46,41,40
Iceland,ISL,1/26/2020,55,44.6,48,35,53,50,37
Iceland,ISL,2/2/2020,39,45.6,44,46,48,47,43
Iceland,ISL,2/9/2020,47,47.8,57,45,55,46,36
Iceland,ISL,2/16/2020,49,47.2,50,39,56,44,47
Iceland,ISL,2/23/2020,48,46.2,47,40,46,57,41
Iceland,ISL,3/1/2020,43,43.6,47,39,35,50,47
Iceland,ISL,3/8/2020,49,44.4,41,51,40,43,47
Iceland,ISL,3/15/2020,42,45.2,46,44,42,37,57
Iceland,ISL,3/22/2020,39,41.6,45,42,48,36,37
Iceland,ISL,3/29/2020,42,47.2,42,43,48,55,48
Iceland,ISL,4/5/2020,50,43.4,41,48,35,55,38
Iceland,ISL,4/12/2020,49,44.4,39,47,43,51,42
Iceland,ISL,4/19/2020,60,48.6,47,53,51,45,47
Iceland,ISL,4/26/2020,35,44.4,41,49,38,41,53
Iceland,ISL,5/3/2020,44,40.2,41,37,46,32,45
Iceland,ISL,5/10/2020,37,41.6,37,39,45,43,44
Iceland,ISL,5/17/2020,41,42.2,53,34,40,38,46
Iceland,ISL,5/24/2020,50,43.6,50,40,41,51,36
Iceland,ISL,5/31/2020,50,42.6,39,45,41,50,38
Iceland,ISL,6/7/2020,34,45,37,45,44,54,45
Iceland,ISL,6/14/2020,39,39.6,41,40,40,35,42
Iceland,ISL,6/21/2020,31,37.4,32,33,47,36,39
Iceland,ISL,6/28/2020,34,47,32,48,43,52,60
Iceland,ISL,7/5/2020,35,43,42,46,47,40,40
Iceland,ISL,7/12/2020,46,38.2,35,41,35,38,42
Iceland,ISL,7/19/2020,42,39.2,33,54,46,33,30
Iceland,ISL,7/26/2020,35,45,56,43,40,30,56
Iceland,ISL,8/2/2020,35,36,42,33,31,41,33
Iceland,ISL,8/9/2020,37,38.8,32,43,38,45,36
Iceland,ISL,8/16/2020,43,39,49,44,40,25,37
Iceland,ISL,8/23/2020,34,43.6,46,37,44,38,53
Iceland,ISL,8/30/2020,28,35.8,25,42,40,36,36
Iceland,ISL,9/6/2020,55,39.2,48,37,36,41,34
Iceland,ISL,9/13/2020,40,42.4,38,51,45,45,33
Iceland,ISL,9/20/2020,45,41.6,38,57,35,33,45
Iceland,ISL,9/27/2020,37,50,45,55,47,50,53
Iceland,ISL,10/4/2020,37,42.4,32,47,35,42,56
Iceland,ISL,10/11/2020,51,42.4,27,41,45,51,48
Iceland,ISL,10/18/2020,47,42.2,39,50,47,37,38
Iceland,ISL,10/25/2020,48,46,52,48,38,54,38
Iceland,ISL,11/1/2020,55,41.4,38,40,39,40,50
Iceland,ISL,11/8/2020,,38.4,30,48,37,39,38
Iceland,ISL,11/15/2020,,47,45,49,51,45,45
Iceland,ISL,11/22/2020,,44.2,43,38,47,42,51
Iceland,ISL,11/29/2020,,44,53,30,47,32,58
Iceland,ISL,12/6/2020,,41.8,35,43,43,43,45
Iceland,ISL,12/13/2020,,42.2,40,48,36,41,46
Iceland,ISL,12/20/2020,,43.8,45,52,44,42,36
Iceland,ISL,12/27/2020,,42,33,45,37,46,49
Israel,ISR,1/5/2020,1091,1011.2,936,1012,1128,1011,969
Israel,ISR,1/12/2020,1010,1054.2,1020,1019,1156,999,1077
Israel,ISR,1/19/2020,1099,1033.2,988,945,1092,1016,1125
Israel,ISR,1/26/2020,1001,1048.8,1068,956,1073,1006,1141
Israel,ISR,2/2/2020,991,1055.8,1071,1097,1030,1015,1066
Israel,ISR,2/9/2020,944,1052,1049,1077,1091,989,1054
Israel,ISR,2/16/2020,964,987.6,1040,1007,908,1010,973
Israel,ISR,2/23/2020,989,984.4,1019,905,991,974,1033
Israel,ISR,3/1/2020,903,960.8,984,896,980,934,1010
Israel,ISR,3/8/2020,930,940,1023,838,927,909,1003
Israel,ISR,3/15/2020,965,922,955,833,919,907,996
Israel,ISR,3/22/2020,892,863,830,789,885,868,943
Israel,ISR,3/29/2020,980,889,935,810,903,872,925
Israel,ISR,4/5/2020,1028,868.8,883,930,833,846,852
Israel,ISR,4/12/2020,877,835.8,811,830,856,790,892
Israel,ISR,4/19/2020,927,824.6,754,832,854,803,880
Israel,ISR,4/26/2020,898,852.2,822,834,912,799,894
Israel,ISR,5/3/2020,830,815.8,773,765,758,812,971
Israel,ISR,5/10/2020,857,817.2,848,746,848,797,847
Israel,ISR,5/17/2020,847,801.2,777,769,794,820,846
Israel,ISR,5/24/2020,961,798.8,822,780,736,818,838
